,followers_count,alternate_names,name,url,api_path,twitter_name
17872,27496,"['Oklama', 'King Kendrick', 'Kendrick Duckworth', 'Kung Fu Kenny', 'Kendrick Lamar Duckworth', 'K-Dot']",Kendrick Lamar,https://genius.com/artists/Kendrick-lamar,/artists/1421,kendricklamar
5672,27297,"['Marshall Mathers III', 'Marshall Bruce Mathers III', 'Marshall Mathers', 'Slim Shady']",Eminem,https://genius.com/artists/Eminem,/artists/45,Eminem
26,16311,"['C. Papi', 'Aubrey Graham', 'Aubrey D. Graham', 'Champagne Papi', '6 God', 'Drizzy', 'Aubrey Drake Graham']",Drake,https://genius.com/artists/Drake,/artists/130,drake
4929,14187,"['Ye', 'Kanye', 'Kanye Omari West', 'Yeezus', 'Yezos', 'Mr. West', 'Yeezy', 'Louis Vuitton Don', 'Yandhi', 'Martin Louis The King Jr', 'Christian Genius Billionaire', 'Kanye O. West']",Kanye West,https://genius.com/artists/Kanye-west,/artists/72,kanyewest
10377,12344,"['Jahseh Onfroy', 'XXX', 'Yung Dagger Dick', 'Jahseh Dwayne Onfroy', 'Jahseh', 'Jahseh Dwayne Ricardo Onfroy', 'MAKE OUT HILL', 'Jahseh D. R. Onfroy', 'Jah', 'Jahseh D. Onfroy', 'Dagger Dick']",XXXTENTACION,https://genius.com/artists/Xxxtentacion,/artists/396565,xxxtentacion
18536,11332,"['Jermaine Cole', 'Jermaine Lamarr Cole', 'Young Simba']",J. Cole,https://genius.com/artists/J-cole,/artists/69,JColeNC
4425,10602,"['Rakim Mayers', 'Rakim A. Mayers', 'Rakim Athelaston Mayers', 'Lord Flacko Jodye II', 'Rocky', 'PMF', 'Pretty Motherfucker', 'Pretty Flacko', 'Lord Flacko', 'Lord Pretty Flacko JODYE', 'Flacko']",A$AP Rocky,https://genius.com/artists/A-ap-rocky,/artists/12417,asvpxrocky
2190,9456,"['King of the Fall', 'Abel ""The Weeknd"" Tesfaye', 'Abel M. Tesfaye', 'A. Tesfaye', 'Abel Makkonen Tesfaye', 'Kin Kane', 'Abel Tesfaye']",The Weeknd,https://genius.com/artists/The-weeknd,/artists/2358,theweeknd
15445,9130,"['Gam-B', 'Bam-B']",Childish Gambino,https://genius.com/artists/Childish-gambino,/artists/1745,donaldglover
2670,9091,"['Nasir bin Olu Dara Jones', 'Nasir Jones']",Nas,https://genius.com/artists/Nas,/artists/56,Nas
18679,9083,"['Psychological', 'Sir Robert Bryson Hall II', 'Bobby Tarantino', 'Young Sinatra', 'Bobby Hall']",Logic,https://genius.com/artists/Logic,/artists/7922,Logic301
4935,8991,"['Chance', 'Chancelor Bennett', 'Chancellor Bennett', 'Chancelor J. Bennett', 'Chancellor J. Bennett', 'Chancelor Johnathan Bennett', 'Chancellor Johnathan Bennett', 'Lil Chano From 79th']",Chance the Rapper,https://genius.com/artists/Chance-the-rapper,/artists/16751,chancetherapper
8063,8601,"['Tyler Okonma', 'Thurnis Haley', 'Bunny Hop', 'DJ Stank Daddy', 'Ace The Creator', 'Gap Tooth T', 'Tyler G. Okonma', 'Bucket Hat T', 'Tyler Baudelaire', 'Wolf Haley', 'Tyler Haley', 'Tyler Gregory Okonma']","Tyler, The Creator",https://genius.com/artists/Tyler-the-creator,/artists/685,tylerthecreator
16434,8480,"['Jacques Bermon Webster II', 'La Flame', 'Cactus Jack', 'Jacques Webster', 'Jacques B. Webster II']",Travis Scott,https://genius.com/artists/Travis-scott,/artists/20185,trvisXX
12756,8059,"[""Billie Eilish O'Connell"", ""Billie O'Connell"", ""Billie Eilish Pirate Baird O'Connell""]",Billie Eilish,https://genius.com/artists/Billie-eilish,/artists/615550,billieeilish
18561,7381,"['防弾少年団 (Bodan Shonendan)', '방탄소년단 (Bangtan Sonyeondan)', 'Beyond the Scene', 'Bulletproof Boy Scouts', 'Bangtan Boys']",BTS,https://genius.com/artists/Bts,/artists/70113,BTS_twt
3674,7117,"['Nils Sjöberg', 'Taylor A. Swift', 'Taylor Alison Swift']",Taylor Swift,https://genius.com/artists/Taylor-swift,/artists/1177,taylorswift13
12255,7061,['Ariana Grande-Butera'],Ariana Grande,https://genius.com/artists/Ariana-grande,/artists/26507,ArianaGrande
17489,7060,"['Shawn Michael Leonard Anderson', 'Shawn Michael Anderson']",Big Sean,https://genius.com/artists/Big-sean,/artists/492,BigSean
6084,6989,"['Larry Lovestein', ""Smoke Mo' Purp"", 'Malcolm McCormick', 'Easy Mac', 'M. McCormick', 'Malcolm James McCormick', 'EZ Mac']",Mac Miller,https://genius.com/artists/Mac-miller,/artists/820,MacMiller
9071,6762,"['Jo-Vaughn Virginie Scott', 'Jo-Vaughn Virginie', 'Jozif Badmon', 'Joey Bad', 'JayOhVee']",Joey Bada$$,https://genius.com/artists/Joey-bada,/artists/18047,joeyBADASS
8537,6408,"['Dwayne Michael Carter Jr', 'Dwayne Michael Carter', 'Little Wayne', 'Young Mulah', 'Weezy F. Baby', 'Lil Tunechi', 'Lil Weezy Ana', 'Weezy', 'Dwayne Carter']",Lil Wayne,https://genius.com/artists/Lil-wayne,/artists/4,LilTunechi
